assay,run_id,well,sample,sample_type,well_nn_ch1,well_nn_ch2,n_nn,reference_nn_ch1,reference_nn_ch2,shift_ch1,shift_ch2
D178N,2021-05-20_SNV_D178N,C01,D178,positive_control,246.6267245,1512.90229,5018,294.2197195,1395.815245,47.592995,-117.08704499999999
D178N,2021-10-14_SNV_D178N,A01,NTC,NTC,153.6596525,1272.778625,14406,294.2197195,1395.815245,140.560067,123.03662000000008
D178N,2021-10-14_SNV_D178N,B01,WT,WT_control,150.7686535,1302.334655,3266,294.2197195,1395.815245,143.451066,93.48058999999989
D178N,2021-10-14_SNV_D178N,C01,D178N-mut,positive_control,147.370163,1255.24316,4739,294.2197195,1395.815245,146.8495565,140.57208500000002
E200K,2020-10-12_SNV_E200K,A02,NTC_E200K,NTC,461.460861,812.626007,11800,812.7544,1116.827,351.293539,304.20099300000004
E200K,2020-10-12_SNV_E200K,B02,WT_E200K,WT_control,507.4917115,871.0749335,1140,812.7544,1116.827,305.2626885,245.75206649999996
E200K,2020-10-12_SNV_E200K,C02,Mut_E200K,positive_control,586.9114675,973.3996890000001,10366,812.7544,1116.827,225.84293250000007,143.42731099999992
E200K,2020-10-15_SNV_E200K,A02,NTC_E200K,NTC,935.1661,1175.52417,5295,812.7544,1116.827,-122.4117,-58.697169999999915
E200K,2020-10-15_SNV_E200K,B02,WT_E200K,WT_control,862.192827,1124.49951,3684,812.7544,1116.827,-49.43842699999993,-7.672510000000102
E200K,2020-10-15_SNV_E200K,C02,Mut_E200K,positive_control,899.52359,1144.6182250000002,8906,812.7544,1116.827,-86.76918999999998,-27.791225000000168
E200K,2020-10-22_SNV_E200K,A02,NTC_E200K,NTC,571.3059805,776.0657045,13870,812.7544,1116.827,241.4484195,340.76129549999996
E200K,2020-10-22_SNV_E200K,B02,WT_E200K,WT_control,753.97095,1035.498475,2424,812.7544,1116.827,58.783450000000016,81.3285249999999
E200K,2020-10-22_SNV_E200K,C02,E200K-mut,positive_control,763.2339724999999,1007.90381,11272,812.7544,1116.827,49.520427500000096,108.92318999999998
E200K,2020-10-29_SNV_E200K,F02,NTC,NTC,806.7043825000001,1066.384755,13282,812.7544,1116.827,6.050017499999967,50.44224499999996
E200K,2020-10-29_SNV_E200K,G02,WT,WT_control,415.66290300000003,681.175481,4160,812.7544,1116.827,397.091497,435.651519
E200K,2020-10-29_SNV_E200K,H02,E200K-mut,positive_control,712.64285,1023.675935,10516,812.7544,1116.827,100.11155000000008,93.15106500000002
E200K,2020-11-05_SNV_E200K,F02,NTC,NTC,853.7842,1087.09448,15117,812.7544,1116.827,-41.02980000000002,29.732520000000022
E200K,2020-11-05_SNV_E200K,G02,WT,WT_control,930.8413235,1239.2105099999999,5186,812.7544,1116.827,-118.08692350000001,-122.38350999999989
E200K,2020-11-05_SNV_E200K,H02,E200K-mut,positive_control,861.972656,1210.75024,12225,812.7544,1116.827,-49.218256,-93.92324000000008
E200K,2020-11-24_SNV_E200K,F02,NTC_E200K,NTC,802.4158,1108.31213,16155,812.7544,1116.827,10.338600000000042,8.514869999999974
E200K,2020-11-24_SNV_E200K,G02,WT_E200K,WT_control,857.901947,1138.176945,2036,812.7544,1116.827,-45.14754699999992,-21.349944999999934
E200K,2020-11-24_SNV_E200K,H02,E200K_mut,positive_control,818.4128754999999,1119.99573,10954,812.7544,1116.827,-5.658475499999895,-3.168730000000096
E200K,2021-01-26_SNV_E200K,A02,NTC,NTC,603.5409,900.78595,10361,812.7544,1116.827,209.21350000000007,216.04105000000004
E200K,2021-01-26_SNV_E200K,B02,E200K-mut,positive_control,595.862091,926.2655285000001,10106,812.7544,1116.827,216.89230900000007,190.56147149999993
E200K,2021-01-26_SNV_E200K,C02,WT,WT_control,853.40995,1312.862245,2196,812.7544,1116.827,-40.65554999999995,-196.03524500000003
E200K,2021-02-17_SNV_E200K,A02,NTC,NTC,945.0735775,1237.361935,15090,812.7544,1116.827,-132.31917750000002,-120.5349349999999
E200K,2021-02-17_SNV_E200K,A08,E200K-mut,positive_control,952.35205,1414.56854,16482,812.7544,1116.827,-139.59764999999993,-297.74154
E200K,2021-02-17_SNV_E200K,B02,WT,WT_control,1075.6875,1343.17554,245,812.7544,1116.827,-262.93309999999997,-226.34853999999996
E200K,2021-02-18_SNV_E200K,A02,NTC,NTC,793.6315915,1130.96242,13472,812.7544,1116.827,19.12280850000002,-14.135420000000067
E200K,2021-02-18_SNV_E200K,A05,E200K-mut,positive_control,877.7027,1276.22656,16265,812.7544,1116.827,-64.94830000000002,-159.39956000000006
E200K,2021-02-18_SNV_E200K,B02,WT,WT_control,868.1538,1228.8125,4617,812.7544,1116.827,-55.399400000000014,-111.9855
E200K,2021-03-29_SNV_E200K,A02,NTC,NTC,747.227617,997.643333,14140,812.7544,1116.827,65.52678300000002,119.18366700000001
E200K,2021-03-29_SNV_E200K,B02,WT,WT_control,796.59785,1056.2772850000001,3182,812.7544,1116.827,16.15655000000004,60.54971499999988
E200K,2021-03-29_SNV_E200K,C02,E200K,positive_control,777.1341325000001,1056.773805,13644,812.7544,1116.827,35.620267499999954,60.05319499999996
E200K,2021-04-06_SNV_E200K,A02,NTC,NTC,830.7716,1155.33643,15195,812.7544,1116.827,-18.017200000000003,-38.509430000000066
E200K,2021-04-06_SNV_E200K,B02,WT,WT_control,902.055756,1239.5524300000002,3932,812.7544,1116.827,-89.30135599999994,-122.72543000000019
E200K,2021-04-06_SNV_E200K,C02,E200K,positive_control,834.161957,1149.1816,4910,812.7544,1116.827,-21.407556999999997,-32.35459999999989
E200K,2021-05-10_SNV_E200K,A02,NTC,NTC,540.8752,990.38535,14284,812.7544,1116.827,271.8792000000001,126.44164999999998
E200K,2021-05-10_SNV_E200K,B02,WT,WT_control,579.6302,1037.53259,3447,812.7544,1116.827,233.1242000000001,79.29440999999997
E200K,2021-05-10_SNV_E200K,C02,E200K,positive_control,564.74054,994.719666,5455,812.7544,1116.827,248.01386000000002,122.10733400000004
E200K,2021-05-20_SNV_E200K,A02,NTC,NTC,914.6775815,1336.07717,16238,812.7544,1116.827,-101.92318149999994,-219.25017000000003
E200K,2021-05-20_SNV_E200K,B02,WT,WT_control,967.33755,1411.5020749999999,5120,812.7544,1116.827,-154.58314999999993,-294.6750749999999
E200K,2021-05-20_SNV_E200K,C02,E200K,positive_control,938.4934085,1363.527345,7138,812.7544,1116.827,-125.73900849999995,-246.70034499999997
E200K,2021-10-25_SNV_E200K,A01,NTC,NTC,774.5932789999999,1047.78186,10012,812.7544,1116.827,38.161121000000094,69.04513999999995
E200K,2021-10-25_SNV_E200K,B01,WT,WT_control,827.8983754999999,1105.09827,1834,812.7544,1116.827,-15.143975499999897,11.728730000000041
E200K,2021-10-25_SNV_E200K,C01,E200K-mut,positive_control,814.59575,1039.43201,3054,812.7544,1116.827,-1.8413499999999203,77.39499
P102L,2020-12-01_SNV_P102L,A12,NTC,NTC,539.46344,761.2573,17235,674.992859,910.1928,135.52941899999996,148.93550000000005
P102L,2020-12-01_SNV_P102L,B12,WT,WT_control,556.09906,840.081,1859,674.992859,910.1928,118.89379899999994,70.11180000000002
P102L,2020-12-01_SNV_P102L,C12,P102L-mut,positive_control,549.5002,789.4385,13463,674.992859,910.1928,125.492659,120.75430000000006
P102L,2021-01-26_SNV_P102L,A03,NTC,NTC,754.4326,944.3527,14113,674.992859,910.1928,-79.43974100000003,-34.15989999999999
P102L,2021-01-26_SNV_P102L,B03,P102L-mut,positive_control,796.703735,1043.07764,10539,674.992859,910.1928,-121.7108760000001,-132.88483999999994
P102L,2021-01-26_SNV_P102L,C03,WT,WT_control,798.729781,1220.036415,2614,674.992859,910.1928,-123.73692200000005,-309.843615
P102L,2021-01-28_SNV_P102L,A03,NTC,NTC,664.274079,874.6513,14478,674.992859,910.1928,10.718779999999924,35.54150000000004
