run_id,run_date,assay,lod_merged_well,physical_well,sample,lod_fraction,accepted_droplets,positives,negatives,fractional_abundance,source_layout,source_analysis_csv,archive_contents_dir,well_index,x_min,x_max,y_min,y_max
2020-10-08_SNV_E200K,2020-10-08,E200K,M01,A01,E200K_NTC,NTC,23746,0,23746,NA,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,13,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M01,A02,E200K_NTC,NTC,23746,0,23746,NA,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,14,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M02,B01,E200K_WT,WT,25239,6,25233,0.012142622,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,15,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M02,B02,E200K_WT,WT,25239,6,25233,0.012142622,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,16,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M03,C01,E200K_1,1,24811,532,24279,1.057012175,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,17,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M03,C02,E200K_1,1,24811,532,24279,1.057012175,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,18,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M04,D01,E200K_0.33,0.33,25176,174,25002,0.330384935,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,19,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M04,D02,E200K_0.33,0.33,25176,174,25002,0.330384935,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,20,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M05,E01,E200K_0.1,0.1,53203,149,53054,0.118910205,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,21,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M05,E02,E200K_0.1,0.1,53203,149,53054,0.118910205,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,22,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M05,F01,E200K_0.1,0.1,53203,149,53054,0.118910205,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,23,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M05,F02,E200K_0.1,0.1,53203,149,53054,0.118910205,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,24,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M06,G01,E200K_0.05,0.05,53456,86,53370,0.066895942,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,25,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M06,G02,E200K_0.05,0.05,53456,86,53370,0.066895942,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,26,-500,11000,0,29500
2020-10-08_SNV_E200K,2020-10-08,E200K,M06,H01,E200K_0.05,0.05,53456,86,53370,0.066895942,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/layout_xlsx/2020-10-08_SNV_E200K_layout.xlsx,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/analysis_csv/2020-10-08_SNV_E200K_lod_analysis.csv,/mnt/c/Projects/prnp-somatic/raw/ddpcr_lod/e200k/archive_contents,27,-500,11000,0,29500
