relocated_utc	sample_id	original_bai	rebuilt_from	archived_original	canonical_bai	archive_sha256	canonical_sha256	outcome
2026-08-31T17:53:48.907652+00:00	A100_1to2	results/final_bam/A100_1to2.bam.bai	results2/spikein/work/index_check/A100_1to2.bam.bai	legacy/bai/A100_1to2.bam.bai	results/final_bam/A100_1to2.bam.bai	48a7b8018f684f187f69e33557a6dcd6ea6fab612793ddeb18ff04f0019f0b62	48a7b8018f684f187f69e33557a6dcd6ea6fab612793ddeb18ff04f0019f0b62	original archived; rebuilt promoted; hashes verified
2026-08-31T17:53:49.024591+00:00	NA995A05_undil	results/final_bam/NA995A05_undil.bam.bai	results2/spikein/work/index_check/NA995A05_undil.bam.bai	legacy/bai/NA995A05_undil.bam.bai	results/final_bam/NA995A05_undil.bam.bai	200e44a07c4bbc57eeb72d6bc7a31b34922ad52b1604cde3cb8f02f78c2bba8e	200e44a07c4bbc57eeb72d6bc7a31b34922ad52b1604cde3cb8f02f78c2bba8e	original archived; rebuilt promoted; hashes verified
