sample_name	biosample_accession	biosample_url	bioproject_accession	bioproject_url	sra_submission_id	sra_experiment_accession	sra_run_accession	release_date	library_ID	title	filetype	filename	filename2	isolate
CJD1	SAMN61220256	https://www.ncbi.nlm.nih.gov/biosample/61220256	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD1_PRNP_capture	CJD1 PRNP targeted-capture sequencing	fastq	CJD1_cjd_case_batch_a_R1.fastq.gz	CJD1_cjd_case_batch_a_R2.fastq.gz	brain gDNA from CJD1
CJD22	SAMN61220257	https://www.ncbi.nlm.nih.gov/biosample/61220257	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD22_PRNP_capture	CJD22 PRNP targeted-capture sequencing	fastq	CJD22_cjd_case_batch_a_R1.fastq.gz	CJD22_cjd_case_batch_a_R2.fastq.gz	brain gDNA from CJD22
CJD23	SAMN61220258	https://www.ncbi.nlm.nih.gov/biosample/61220258	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD23_PRNP_capture	CJD23 PRNP targeted-capture sequencing	fastq	CJD23_cjd_case_batch_a_R1.fastq.gz	CJD23_cjd_case_batch_a_R2.fastq.gz	brain gDNA from CJD23
CJD25	SAMN61220259	https://www.ncbi.nlm.nih.gov/biosample/61220259	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD25_PRNP_capture	CJD25 PRNP targeted-capture sequencing	fastq	CJD25_cjd_case_batch_a_R1.fastq.gz	CJD25_cjd_case_batch_a_R2.fastq.gz	brain gDNA from CJD25
CJD27	SAMN61220260	https://www.ncbi.nlm.nih.gov/biosample/61220260	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD27_PRNP_capture	CJD27 PRNP targeted-capture sequencing	fastq	CJD27_cjd_case_batch_a_R1.fastq.gz	CJD27_cjd_case_batch_a_R2.fastq.gz	brain gDNA from CJD27
CJD2	SAMN61220261	https://www.ncbi.nlm.nih.gov/biosample/61220261	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD2_PRNP_capture	CJD2 PRNP targeted-capture sequencing	fastq	CJD2_cjd_case_batch_a_R1.fastq.gz	CJD2_cjd_case_batch_a_R2.fastq.gz	brain gDNA from CJD2
CJD6	SAMN61220262	https://www.ncbi.nlm.nih.gov/biosample/61220262	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	CJD6_PRNP_capture	CJD6 PRNP targeted-capture sequencing	fastq	CJD6_cjd_case_batch_a_R1.fastq.gz	CJD6_cjd_case_batch_a_R2.fastq.gz	brain gDNA from CJD6
NA100_undil	SAMN61220263	https://www.ncbi.nlm.nih.gov/biosample/61220263	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	NA100_undil_PRNP_capture	commercial gDNA without A117V spike-in PRNP targeted-capture sequencing	fastq	NA100_undil_dilution_series_R1.fastq.gz	NA100_undil_dilution_series_R2.fastq.gz	commercial gDNA without A117V spike-in
NA995A05_undil	SAMN61220264	https://www.ncbi.nlm.nih.gov/biosample/61220264	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	A117V_high_PRNP_capture	A117V_high gDNA artificial mosaic PRNP targeted-capture sequencing	fastq	NA995A05_undil_dilution_series_R1.fastq.gz	NA995A05_undil_dilution_series_R2.fastq.gz	A117V_high gDNA artificial mosaic
NA99A1_undil	SAMN61220265	https://www.ncbi.nlm.nih.gov/biosample/61220265	PRJNA1484136	http://www.ncbi.nlm.nih.gov/bioproject/1484136	SUB16298068	pending	pending	2027-07-30	A117V_low_PRNP_capture	A117V_low gDNA artificial mosaic PRNP targeted-capture sequencing	fastq	NA99A1_undil_dilution_series_R1.fastq.gz	NA99A1_undil_dilution_series_R2.fastq.gz	A117V_low gDNA artificial mosaic
