package,assay,run_id,path,files,rows,template_path,sample_table_path,reference_well,reference_file,reference_sample_type,well,channel
twoddpcr,E200K,2021-05-20_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/E200K/2021-05-20_SNV_E200K,2,536773,NA,NA,NA,NA,NA,NA,NA
twoddpcr,E200K,2021-10-25_SNV_E200K,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/E200K/2021-10-25_SNV_E200K,2,38634,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2020-12-01_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2020-12-01_SNV_P102L,2,717491,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-01-26_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-01-26_SNV_P102L,2,362079,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-01-28_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-01-28_SNV_P102L,2,335030,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-02-02_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-02-02_SNV_P102L,2,815130,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-02-17_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-02-17_SNV_P102L,2,256672,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-02-18_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-02-18_SNV_P102L,2,257228,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-03-05_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-03-05_SNV_P102L,2,108741,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-03-29_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-03-29_SNV_P102L,2,381357,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-04-06_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-04-06_SNV_P102L,2,296739,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-05-10_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-05-10_SNV_P102L,2,365786,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-05-20_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-05-20_SNV_P102L,2,468592,NA,NA,NA,NA,NA,NA,NA
twoddpcr,P102L,2021-10-14_SNV_P102L,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/twoddpcr/P102L/2021-10-14_SNV_P102L,2,57646,NA,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2020-10-12_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-10-12_SNV_D178N,7,89351,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-10-12_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2020-10-15_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-10-15_SNV_D178N,25,299120,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-10-15_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2020-10-22_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-10-22_SNV_D178N,21,284563,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-10-22_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2020-10-29_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-10-29_SNV_D178N,29,368469,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-10-29_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2020-11-05_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-11-05_SNV_D178N,22,357665,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-11-05_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2020-11-24_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-11-24_SNV_D178N,12,177059,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2020-11-24_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
ddPCRclust,D178N,2021-01-26_SNV_D178N,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-01-26_SNV_D178N,24,336659,/mnt/c/Projects/prnp-somatic/scratch/ddpcr_gating_method_comparison_v2/inputs/ddPCRclust/D178N/2021-01-26_SNV_D178N/ddPCR_run_template.csv,NA,NA,NA,NA,NA,NA
