method_id,method_variant,method_family,assay,sample,sample_type,sample_key,classification_status,classification_message,n_wells,run_dates,n_total_droplets,n_accepted_droplets,n_mut_expected,n_wt_expected,n_nn,n_wt_only,n_mut_only,n_double_positive,n_rain,n_unclassified,ref_positive,mut_positive,total,ref_negative,mut_negative,fractional_abundance,ci_low,ci_high,lambda_ref,lambda_mut,ratio,ratio_low,ratio_high,ratio_unbounded,p0_use,plate_p0_max,lob_count,lob_fa,detected_above_LoB,detected_above_LoD,is_germline_e200k
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-34-bg,biological_sample,17_34_bg,ok,,1,2021-03-29,16761,16761,14992,16272,12,1757,477,14515,0,0,16272,14992,16761,489,1769,38.883039402480726,38.12843243757695,39.64163964728886,3.5344475486523876,2.2486403439674727,0.636207020479009,0.6162512756624222,0.6567713141251403,FALSE,0.8333936720328324,2021-03-29,14048,83.81361493944276,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-34-hc,biological_sample,17_34_hc,ok,,1,2021-03-29,17087,17087,14379,16776,12,2696,299,14080,0,0,16776,14379,17087,311,2708,31.497698497736764,30.774623594322495,32.2271191767549,4.006280307269037,1.8421075854161075,0.4598049672345113,0.44455697017775286,0.4755164423481534,FALSE,0.8333936720328324,2021-03-29,14320,83.80640252823784,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-5-bg,biological_sample,17_5_bg,ok,,1,2021-03-29,15184,15184,14145,14330,18,1021,836,13309,0,0,14330,14145,15184,854,1039,48.23668130358187,47.44421719746788,49.02985598608847,2.878066327061139,2.6819835297504815,0.9318699518954859,0.9027401870452594,0.9619328517633089,FALSE,0.8333936720328324,2021-03-29,12730,83.83825079030558,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-5-hc,biological_sample,17_5_hc,ok,,1,2021-03-29,17022,17022,16211,16688,13,798,321,15890,0,0,16688,16211,17022,334,811,43.64077085798472,42.77360060341217,44.50974425738429,3.9311209110602086,3.0439938499214927,0.7743322881158949,0.747445253491915,0.8021182036687109,FALSE,0.8333936720328324,2021-03-29,14266,83.80918810950534,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-5-sn,biological_sample,17_5_sn,ok,,1,2021-03-29,16772,16772,16162,15784,17,593,971,15191,0,0,15784,16162,16772,988,610,53.92320349792219,53.12592443270771,54.7190978314696,2.8317834105427853,3.3140071511232962,1.1702897682023217,1.1333754061227361,1.208436564002442,FALSE,0.8333936720328324,2021-03-29,14057,83.81230622466015,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-8-cb,biological_sample,17_8_cb,ok,,1,2021-05-20,18971,18971,18960,18955,11,0,5,18955,0,0,18955,18960,18971,16,11,51.28930331277062,48.50865940016886,54.12955512967297,7.078078054112813,7.4527715035542474,1.0529371739866182,0.9420741203294274,1.1800529792700711,FALSE,0.9998741269889265,2021-05-20,18971,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-8-fr,biological_sample,17_8_fr,ok,,1,2021-05-20,19090,19090,19078,18904,10,2,176,18902,0,0,18904,19078,19090,186,12,61.41713503183441,59.392871943066204,63.55936883966619,4.631173243006588,7.372013266931777,1.5918241188804714,1.4626218298372047,1.7441895712512114,FALSE,0.9998741269889265,2021-05-20,19090,100,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-8-hc,biological_sample,17_8_hc,ok,,1,2021-03-29,16456,16456,15623,16281,31,802,144,15479,0,0,16281,15623,16456,175,833,39.635758602967684,38.68180652435563,40.591638832236825,4.543659457409284,2.9834117891659497,0.6566099015851509,0.630837347478609,0.6832647464825726,FALSE,0.8333936720328324,2021-03-29,13793,83.81745260087506,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-8-sn,biological_sample,17_8_sn,ok,,1,2021-03-29,15353,15353,8683,14983,29,6641,341,8342,0,0,14983,8683,15353,370,6670,18.28568879188052,17.76828696024313,18.812957595181373,3.725563168020629,0.8336910347492297,0.2237758419734875,0.21607584596532275,0.23172364749260507,FALSE,0.8333936720328324,2021-03-29,12871,83.83377841464208,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,17-8-th,biological_sample,17_8_th,ok,,1,2021-04-06,15803,15803,15800,15601,1,2,201,15599,0,0,15601,15800,15803,202,3,66.27985763720284,63.14567599768076,70.01554606049498,4.3596873770079,8.569342785740957,1.9655865305695817,1.7133858158328181,2.33506156896352,FALSE,0.999747477536892,2021-04-06,15802,99.9936720875783,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,18-1-sn,biological_sample,18_1_sn,ok,,1,2021-03-29,15297,15297,14758,15170,9,530,118,14640,0,0,15170,14758,15297,127,539,41.117472935236265,40.036511673682966,42.19826397956087,4.791224923264678,3.3456964388142683,0.6982966761941443,0.6676814973773227,0.7300518441978842,FALSE,0.8333936720328324,2021-03-29,12824,83.83343139177616,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,18-1-th,biological_sample,18_1_th,ok,,1,2021-03-29,14693,14693,14171,14524,82,440,87,14084,0,0,14524,14171,14693,169,522,42.773201554009695,41.72873123150923,43.81857013631702,4.465227753952877,3.337458880993308,0.7474330683443409,0.7161115951893149,0.7799475777429863,FALSE,0.8333936720328324,2021-03-29,12319,83.84264615803444,TRUE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,18-31-fr,biological_sample,18_31_fr,ok,,1,2021-10-14,12910,12910,11114,2,1796,0,11112,2,0,0,2,11114,12910,12908,1796,99.99214584565887,0,99.99904882857277,1.5493066883574136e-4,1.9724402349785435,12731.115471203053,0,105132.51971859491,FALSE,0.7441576369054431,2021-10-14,9688,75.04260263361735,TRUE,FALSE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,18-5-th,biological_sample,18_5_th,ok,,1,2021-01-26,15610,15610,6371,512,9239,0,5859,512,0,0,512,6371,15610,15098,9239,94.02154823177811,93.49359608500774,94.51790027193793,0.03334944980990759,0.5244780798387326,15.726738606731633,14.369473107806424,17.241185852222785,FALSE,0.42180890039818875,2021-01-26,6686,42.83151825752723,FALSE,TRUE,FALSE
ddpcRquant_09995,"ddpcRquant threshold.int=0.9995, reps=10",ddpcRquant,D178N,19-082-cau,biological_sample,19_082_cau,ok,,1,2021-05-20,16378,16378,16161,15889,212,5,277,15884,0,0,15889,16161,16378,489,217,55.184759380086035,54.195551426779325,56.17339384501075,3.5113317603552607,4.323796896289675,1.2313837573275084,1.183194058981958,1.2817190006992114,FALSE,0.9998741269889265,2021-05-20,16378,100,FALSE,TRUE,FALSE
