method_id,method_variant,assay,run_id,status,message,elapsed_seconds,output_excerpt,method_parameters_json
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-01-26_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-01-28_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-02-02_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-02-17_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-02-18_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-03-05_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-03-29_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-04-06_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-05-10_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-05-20_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
ddPCRclust_control_projected,control-projected sensitivity using ddPCRclust input geometry,P102L,2021-10-14_SNV_P102L,ok,NA,0,NA,"{""source"":""control_geometry"",""package_input"":""ddPCRclust""}"
