method_id,assay,channel,channel_role,status,message,negative_mean,negative_sd,positive_mean,positive_sd,negative_upper,positive_lower,rain_band_overlap,run_id,threshold_interval,reps,threshold,elapsed_seconds
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_E200K,0.995,10,8228.5,0.4670000000000414
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-10-29_SNV_E200K,0.995,10,810.5,0.5720000000000027
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05_SNV_E200K,0.995,10,8228.5,0.4959999999999809
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-05_SNV_E200K,0.995,10,810.5,0.5319999999999823
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-24_SNV_E200K,0.995,10,8228.5,0.5120000000000005
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-11-24_SNV_E200K,0.995,10,811,0.5390000000000441
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_E200K,0.995,10,8227.5,0
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_E200K,0.995,10,811,0.4989999999999668
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_E200K,0.995,10,8227.5,0.5169999999999959
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_E200K,0.995,10,810,0.4970000000000141
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-18_SNV_E200K,0.995,10,8227.5,0.48999999999995225
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-18_SNV_E200K,0.995,10,811,0.48799999999999955
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_E200K,0.995,10,8228.5,0.5130000000000337
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_E200K,0.995,10,811,0.5090000000000146
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_E200K,0.995,10,8229,0.5310000000000059
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_E200K,0.995,10,810.5,0.535000000000025
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_E200K,0.995,10,8228,0.5439999999999827
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_E200K,0.995,10,811,0.5130000000000337
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_E200K,0.995,10,8228,0.47100000000000364
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_E200K,0.995,10,811,0.5910000000000082
ddpcRquant_0995,E200K,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-25_SNV_E200K,0.995,10,8228.5,0.4910000000000423
ddpcRquant_0995,E200K,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-10-25_SNV_E200K,0.995,10,811,0.5020000000000095
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01_SNV_P102L,0.995,10,6861,2.9680000000000177
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-01_SNV_P102L,0.995,10,9365,2.9990000000000236
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_P102L,0.995,10,6861,2.97199999999998
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-26_SNV_P102L,0.995,10,9365,2.894999999999982
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-28_SNV_P102L,0.995,10,6861,2.400000000000034
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-28_SNV_P102L,0.995,10,9365,3.009999999999991
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-02_SNV_P102L,0.995,10,6861,2.9610000000000127
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-02_SNV_P102L,0.995,10,9365,2.959000000000003
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_P102L,0.995,10,6861,2.923999999999978
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-17_SNV_P102L,0.995,10,9365,2.201999999999998
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-18_SNV_P102L,0.995,10,6861,3.0470000000000255
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-02-18_SNV_P102L,0.995,10,9365,2.900000000000091
ddpcRquant_0995,P102L,ch1,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-05_SNV_P102L,0.995,10,6861,2.9990000000000236
ddpcRquant_0995,P102L,ch2,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-05_SNV_P102L,0.995,10,9365,2.9430000000000973
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_P102L,0.995,10,6861,2.947999999999979
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-29_SNV_P102L,0.995,10,9365,2.8239999999999554
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_P102L,0.995,10,6861,2.9680000000000746
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-04-06_SNV_P102L,0.995,10,9365,2.8999999999999773
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_P102L,0.995,10,6861,2.9329999999999927
ddpcRquant_0995,P102L,ch2,reference,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10_SNV_P102L,0.995,10,9365,2.9109999999999445
ddpcRquant_0995,P102L,ch1,mutant,ok,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-20_SNV_P102L,0.995,10,6861,2.92999999999995
