method_id,method_variant,assay,run_id,attempt,eps,minPts,status,message,elapsed_seconds,output_excerpt
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2020-10-12_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2020-10-15_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2020-10-22_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2020-10-29_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2020-11-05_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2020-11-24_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2021-01-26_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2021-02-17_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2021-03-29_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2021-04-06_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2021-05-10_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2021-05-20_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,D178N,2021-10-14_SNV_D178N,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2020-10-12_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2020-10-15_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2020-10-22_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2020-10-29_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2020-11-05_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2020-11-24_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2021-01-26_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2021-02-17_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2021-02-18_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2021-03-29_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2021-04-06_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2021-05-10_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2021-05-20_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,E200K,2021-10-25_SNV_E200K,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2020-12-01_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-01-26_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-01-28_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-02-02_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-02-17_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-02-18_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-03-05_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-03-29_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-04-06_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-05-10_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-05-20_SNV_P102L,NA,NA,NA,ok,NA,0,NA
dPCP_control_projected,control-projected adapter-style baseline using dPCP inputs,P102L,2021-10-14_SNV_P102L,NA,NA,NA,ok,NA,0,NA
