Sample	Total	Primary	Secondary	Supplementary	Duplicates	PrimaryDuplicates	Mapped	PrimaryMapped	Paired	Read1	Read2	ProperlyPaired	WithItselfAndMateMapped	Singletons	WithMateDifferentChr	WithMateDifferentChrMapQ5
CJD4_bwa	2738094	2481908	0	256186	1209417	1209417	2624029	2367843	2481908	1240954	1240954	2096564	2352012	15831	153474	41244
CJD4_orig	2817705	2563284	0	254421	1218229	1218229	2508852	2254431	2563284	1281642	1281642	2071826	2214182	40249	61006	11778
CJD5_bwa	3316246	3085416	0	230830	19295	19295	2649371	2418541	3085416	1542708	1542708	1945690	2369470	49071	216878	69329
CJD5_orig	3759039	3462160	0	296879	26361	26361	2162794	1865915	3462160	1731080	1731080	1475838	1755722	110193	129364	26658
CJD6_bwa	3258290	3033704	0	224586	1491733	1491733	3104189	2879603	3033704	1516852	1516852	2614882	2861172	18431	147440	43097
CJD6_orig	3505609	3272118	0	233491	1596186	1596186	3093973	2860482	3272118	1636059	1636059	2644758	2816514	43968	72332	16719
CJD7_bwa	1384421	1283170	0	101251	329423	329423	1303111	1201860	1283170	641585	641585	1076862	1191028	10832	67314	18878
CJD7_orig	1429369	1329720	0	99649	339438	339438	1234831	1135182	1329720	664860	664860	1046486	1112252	22930	29308	6087
CJD8_bwa	663086	617972	0	45114	1437	1437	524454	479340	617972	308986	308986	387116	467934	11406	44420	13964
CJD8_orig	773853	718332	0	55521	1998	1998	428175	372654	718332	359166	359166	294004	348234	24420	26990	5512
Ctrl1_bwa	3292002	2991232	0	300770	901644	901644	2871577	2570807	2991232	1495616	1495616	2154122	2526154	44653	219648	65766
Ctrl1_orig	3425554	3127576	0	297978	904113	904113	2579447	2281469	3127576	1563788	1563788	1987450	2198538	82931	108886	23715
Ctrl2_bwa	1659866	1544736	0	115130	143694	143694	1410938	1295808	1544736	772368	772368	1092576	1273508	22300	99256	31249
Ctrl2_orig	1723535	1600636	0	122899	141752	141752	1125334	1002435	1600636	800318	800318	849036	958692	43743	51862	10477
Ctrl3_bwa	3137302	2907410	0	229892	1400349	1400349	2930988	2701096	2907410	1453705	1453705	2365384	2662556	38540	177926	51487
Ctrl3_orig	3257469	3029422	0	228047	1440170	1440170	2837707	2609660	3029422	1514711	1514711	2360194	2538192	71468	88084	17762
Ctrl4_bwa	1301950	1196260	0	105690	6585	6585	1057742	952052	1196260	598130	598130	750440	929196	22856	94120	28679
Ctrl4_orig	1546132	1404802	0	141330	7479	7479	955777	814447	1404802	702401	702401	642108	763940	50507	57208	11104
Ctrl5_bwa	1580259	1445860	0	134399	470015	470015	1460960	1326561	1445860	722930	722930	1146916	1307794	18767	96966	27217
Ctrl5_orig	1634741	1502522	0	132219	482328	482328	1392426	1260207	1502522	751261	751261	1133984	1225432	34775	46020	9148
Ctrl7_bwa	1208571	1119436	0	89135	5365	5365	971159	882024	1119436	559718	559718	725092	864554	17470	74824	23029
Ctrl7_orig	1362274	1254192	0	108082	5894	5894	776410	668328	1254192	627096	627096	541784	630222	38106	41284	8049
