assay,target_class,vertex_order,gate_source,n_control_points,n_trimmed_points,min_hull_points,polygon_expansion,ch1_amplitude,ch2_amplitude
P102L,NN,34,control_convex_hull_mahalanobis_trimmed,288091,286650,30,1.03,1108.48675583,1060.1154594
P102L,WT,1,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1539.2342086849999,4562.5249579
P102L,WT,2,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1456.310917185,4160.6416179
P102L,WT,3,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1439.684935285,4083.0411501
P102L,WT,4,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1308.1425228849998,3493.8293513999997
P102L,WT,5,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1038.611834485,2788.0387022
P102L,WT,6,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,919.504195965,2592.4292289
P102L,WT,7,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,859.0365668850001,2508.3691779
P102L,WT,8,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,824.185944205,2461.2246770999996
P102L,WT,9,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,802.6020871750001,2437.3294804999996
P102L,WT,10,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,762.656834205,2401.3569365
P102L,WT,11,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,690.005058055,2349.6210562
P102L,WT,12,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,571.0894074150001,2340.7966548
P102L,WT,13,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,531.3874898849999,2355.8478078999997
P102L,WT,14,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,508.52519788499995,2372.9064516
P102L,WT,15,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,481.547746885,2402.3127559
P102L,WT,16,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,408.865350895,2527.7043378999997
P102L,WT,17,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,313.53471441499994,2772.9427647
P102L,WT,18,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,280.360748395,3376.4591416
P102L,WT,19,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,389.34163188499986,4603.817297400001
P102L,WT,20,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,769.836344145,6659.6204079
P102L,WT,21,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,858.395535055,6984.4208963
P102L,WT,22,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,875.278256815,7033.351427400001
P102L,WT,23,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,904.206598885,7108.4413423000005
P102L,WT,24,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,947.198835965,7175.9923679
P102L,WT,25,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,982.378242885,7226.664526
P102L,WT,26,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1006.1947474850001,7255.4197879
P102L,WT,27,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1050.849882485,7308.3937179
P102L,WT,28,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1153.4503042850001,7387.8860279
P102L,WT,29,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1172.9402114850002,7399.7598679
P102L,WT,30,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1202.851071585,7413.6741379000005
P102L,WT,31,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1265.455202885,7422.6392579
P102L,WT,32,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1342.418584785,7402.135047899999
P102L,WT,33,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1472.184123585,7168.8699179000005
P102L,WT,34,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1638.4881398849998,5396.787548300001
P102L,WT,35,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1640.078274485,5281.8666579
P102L,WT,36,control_convex_hull_mahalanobis_trimmed,165596,164768,30,1.03,1599.665359285,4915.2479635
P102L,MUT,1,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,8504.251785,1254.5757888
P102L,MUT,2,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,6371.713005,824.51859821
P102L,MUT,3,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,4193.177514999999,463.99128261
P102L,MUT,4,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,3263.766285,631.2877688
P102L,MUT,5,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,3049.3170404999996,695.0114998
P102L,MUT,6,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,2981.5221212,863.2191518000001
P102L,MUT,7,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,2963.1450672,993.4260868
P102L,MUT,8,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,3047.938025,1101.6320982
P102L,MUT,9,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,3283.8037299,1355.89487
P102L,MUT,10,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,3557.1829823999997,1529.0422475
P102L,MUT,11,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,3816.697065,1634.5966269
P102L,MUT,12,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,4105.3383734,1726.309753
P102L,MUT,13,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,5662.2774227,2210.6796954
P102L,MUT,14,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,5887.5340967,2273.6427507999997
P102L,MUT,15,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,6282.3867082,2334.778854
P102L,MUT,16,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,6848.619485,2398.645137
P102L,MUT,17,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,7701.370905,2392.467403
P102L,MUT,18,control_convex_hull_mahalanobis_trimmed,34476,34303,30,1.03,7941.3550958,2343.3531508
P102L,DP,1,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,7540.291196,3425.2993411499997
P102L,DP,2,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,7487.876865,2666.19085525
P102L,DP,3,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,7232.9171643,2452.8734777500003
P102L,DP,4,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,6998.136585,2293.56813635
P102L,DP,5,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,5397.944035,1897.1474837499998
P102L,DP,6,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,3852.710637,1771.4409689499998
P102L,DP,7,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,3629.2132133000005,1830.9777808499998
P102L,DP,8,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,3435.3662553999998,1912.5788819499999
P102L,DP,9,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2953.2234099,2139.16957075
P102L,DP,10,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2780.7688207,2235.42554275
P102L,DP,11,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2543.5024291,2378.4625182499994
P102L,DP,12,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2166.4779228,2743.7748018499997
P102L,DP,13,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2030.4082896,2947.17111635
P102L,DP,14,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,1994.015794,3088.95404625
P102L,DP,15,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,1751.2195692999999,4170.2294959500005
P102L,DP,16,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2010.3028749999999,4658.1437095500005
P102L,DP,17,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2142.436425,4885.37155635
P102L,DP,18,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2501.9242337,5222.66256635
P102L,DP,19,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2647.3893517999995,5345.616406149999
P102L,DP,20,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2680.3516178,5368.75620075
P102L,DP,21,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,2897.765295,5487.08931635
P102L,DP,22,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,3117.3532507,5590.83435655
P102L,DP,23,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,3870.3510349999997,5719.05973635
P102L,DP,24,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,4445.927776099999,5592.0535263500005
P102L,DP,25,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,6106.784885,5081.91924635
P102L,DP,26,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,6344.026845,4884.58025885
P102L,DP,27,control_convex_hull_mahalanobis_trimmed,31736,31577,30,1.03,7292.779415,3811.5493411499997
