assay,target_class,vertex_order,gate_source,n_control_points,n_trimmed_points,min_hull_points,polygon_expansion,ch1_amplitude,ch2_amplitude
D178N,WT,21,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,5102.42061235,1807.64206175
D178N,WT,22,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,6662.00335235,1977.50769445
D178N,WT,23,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,7120.88108315,2020.55293945
D178N,WT,24,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,8099.25196235,2075.08447665
D178N,WT,25,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,9095.18986235,2096.6546336499996
D178N,WT,26,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,9352.52197235,2098.7429792499997
D178N,WT,27,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,9951.51332235,2091.42616825
D178N,WT,28,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,10375.843040349999,2066.10365945
D178N,WT,29,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,10735.47598635,2036.95046735
D178N,WT,30,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,10910.82143535,2008.85140815
D178N,WT,31,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,11104.53487435,1970.3991597499999
D178N,WT,32,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,11470.69173735,1885.9493464500001
D178N,WT,33,control_convex_hull_mahalanobis_trimmed,160518,159715,30,1.03,11646.83584835,1729.9617792499998
D178N,MUT,1,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,2332.05174221,5056.85796
D178N,MUT,2,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,2329.10582891,4976.51693
D178N,MUT,3,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,2307.90759461,4778.8575919
D178N,MUT,4,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,2278.4092598099996,4599.957458399999
D178N,MUT,5,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,1834.05566201,2147.7925083
D178N,MUT,6,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,539.10749511,1801.9756629999997
D178N,MUT,7,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,265.65903278999997,1955.196712
D178N,MUT,8,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,220.53305286,2050.2379741
D178N,MUT,9,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,76.070154527,3480.2918899
D178N,MUT,10,control_convex_hull_mahalanobis_trimmed,23699,23580,30,1.03,220.96403267000005,4956.6417307
