#<METADATA>Ln prior of deletion of length 10=-20.72326583694641
#<METADATA>Ln prior of deletion of length 9=-20.72326583694641
#<METADATA>Ln prior of deletion of length 8=-20.72326583694641
#<METADATA>Ln prior of deletion of length 7=-20.72326583694641
#<METADATA>Ln prior of deletion of length 6=-20.72326583694641
#<METADATA>Ln prior of deletion of length 5=-20.72326583694641
#<METADATA>Ln prior of deletion of length 4=-20.72326583694641
#<METADATA>Ln prior of deletion of length 3=-20.72326583694641
#<METADATA>Ln prior of deletion of length 2=-9.9998926758835
#<METADATA>Ln prior of deletion of length 1=-9.985297927733694
#<METADATA>Ln prior of SNV=-7.682712869693781
#<METADATA>Ln prior of insertion of length 1=-10.003777843543322
#<METADATA>Ln prior of insertion of length 2=-20.72326583694641
#<METADATA>Ln prior of insertion of length 3=-9.985324871515507
#<METADATA>Ln prior of insertion of length 4=-20.72326583694641
#<METADATA>Ln prior of insertion of length 5=-20.72326583694641
#<METADATA>Ln prior of insertion of length 6=-20.72326583694641
#<METADATA>Ln prior of insertion of length 7=-20.72326583694641
#<METADATA>Ln prior of insertion of length 8=-20.72326583694641
#<METADATA>Ln prior of insertion of length 9=-20.72326583694641
#<METADATA>Ln prior of insertion of length 10=-20.72326583694641
#<METADATA>Background beta-binomial cluster=weight = 0.9371, alpha = 1.00, beta = 2.88
#<METADATA>High-AF beta-binomial cluster=weight = 0.0629, alpha = 10.00, beta = 1.01
#<METADATA>threshold=0.018
#<METADATA>fdr=0.001
#<METADATA>sensitivity=0.93
filter	FP	FDR	FN	FNR
weak_evidence	0.01	0.0	0.98	0.07
strand_bias	0.0	0.0	0.0	0.0
orientation	0.0	0.0	0.0	0.0
slippage	0.0	0.0	0.0	0.0
haplotype	0.0	0.0	0.0	0.0
germline	0.0	0.0	0.0	0.0
