run_id,assay,well,sample,sample_type,sample_key,run_date,source_peak_data_json,source_peak_metadata_json,method_id,method_variant,n_total_droplets,n_accepted_droplets,n_nn,n_wt_only,n_mut_only,n_double_positive,n_rain,n_unclassified,n_mut_expected,n_wt_expected,classification_status,classification_message,method_parameters_json
2020-10-15_SNV_D178N,D178N,A09,CJD18-31_bg_D178N,biological_sample,18_31_bg,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/A09.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/A09.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,12762,10445,835,7758,1832,20,2317,0,1852,7778,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,B01,WT_D178N,WT_control,wt,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/B01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/B01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,10440,10252,358,9879,11,4,188,0,15,9883,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,B03,CJD18-6_cb_D178N,biological_sample,18_6_cb,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/B03.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/B03.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,14641,13657,1944,10542,1152,19,984,0,1171,10561,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,B05,CJD18-17_cb_D178N,biological_sample,18_17_cb,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/B05.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/B05.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,12393,12045,2499,9248,287,11,348,0,298,9259,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,B07,CJD18-24_cb_D178N,biological_sample,18_24_cb,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/B07.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/B07.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,13849,13347,3137,9834,342,34,502,0,376,9868,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,B09,CJD18-31_cb_D178N,biological_sample,18_31_cb,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/B09.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/B09.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15381,14529,2863,11299,359,8,852,0,367,11307,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,C01,Mut_D178N,positive_control,mut,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/C01.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/C01.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,5827,5778,3199,1038,1091,450,49,0,1541,1488,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,C03,CJD18-6_fr_D178N,biological_sample,18_6_fr,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/C03.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/C03.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15621,15362,4049,11130,169,14,259,0,183,11144,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,C05,CJD18-17_fr_D178N,biological_sample,18_17_fr,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/C05.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/C05.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,13888,12923,1688,10618,595,22,965,0,617,10640,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,C07,CJD18-24_fr_D178N,biological_sample,18_24_fr,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/C07.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/C07.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,15049,13215,1194,11104,870,47,1834,0,917,11151,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,D03,CJD18-6_hc_D178N,biological_sample,18_6_hc,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/D03.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/D03.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,12400,12383,1951,10424,1,7,17,0,8,10431,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,D05,CJD18-17_hc_D178N,biological_sample,18_17_hc,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/D05.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/D05.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,12930,12836,2487,10342,0,7,94,0,7,10349,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,D07,CJD18-24_hc_D178N,biological_sample,18_24_hc,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/D07.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/D07.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,12035,11924,1536,10369,8,11,111,0,19,10380,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
2020-10-15_SNV_D178N,D178N,D09,CJD18-31_hc_D178N,biological_sample,18_31_hc,2020-10-15,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakData/D09.ddpeakjson,/mnt/c/Projects/prnp-somatic/raw/ddpcr/archive_contents/2020-10-15/SNV_D178N/PeakMetaData/D09.ddmetajson,polygon_control_hull_gates,control-derived convex-hull polygon gates,10005,9617,3383,6121,69,44,388,0,113,6165,ok,NA,"{""gate_source"":""control_anchored_polygon"",""min_hull_points"":30,""polygon_expansion"":1.03}"
